Geneid	symbol	DMSO_express	IBR_express	RES_express
ENSG00000005812	FBXL3	TRUE	TRUE	TRUE
ENSG00000005844	ITGAL	TRUE	TRUE	TRUE
ENSG00000005882	PDK2	TRUE	TRUE	TRUE
ENSG00000005884	ITGA3	FALSE	FALSE	FALSE
ENSG00000005889	ZFX	TRUE	TRUE	TRUE
ENSG00000005893	LAMP2	TRUE	TRUE	TRUE
ENSG00000005955	GGNBP2	TRUE	TRUE	TRUE
ENSG00000005961	ITGA2B	FALSE	FALSE	FALSE
ENSG00000005981	ASB4	FALSE	FALSE	FALSE
ENSG00000006007	GDE1	TRUE	TRUE	TRUE
ENSG00000006015	C19orf60	TRUE	TRUE	TRUE
ENSG00000006016	CRLF1	FALSE	FALSE	FALSE
ENSG00000006025	OSBPL7	FALSE	FALSE	FALSE
ENSG00000006042	TMEM98	FALSE	FALSE	FALSE
ENSG00000006047	YBX2	FALSE	TRUE	FALSE
ENSG00000006059	KRT33A	FALSE	FALSE	FALSE
ENSG00000006062	MAP3K14	TRUE	TRUE	TRUE
ENSG00000006071	ABCC8	FALSE	FALSE	FALSE
ENSG00000006074	CCL18	FALSE	FALSE	FALSE
ENSG00000006075	CCL3	TRUE	FALSE	FALSE
ENSG00000006114	SYNRG	TRUE	TRUE	TRUE
ENSG00000006116	CACNG3	FALSE	FALSE	FALSE
ENSG00000006118	TMEM132A	FALSE	FALSE	FALSE
ENSG00000006125	AP2B1	TRUE	TRUE	TRUE
ENSG00000006128	TAC1	FALSE	FALSE	FALSE
ENSG00000006194	ZNF263	TRUE	TRUE	TRUE
ENSG00000006210	CX3CL1	FALSE	FALSE	FALSE
ENSG00000006282	SPATA20	FALSE	FALSE	FALSE
ENSG00000006283	CACNA1G	FALSE	FALSE	FALSE
ENSG00000006327	TNFRSF12A	FALSE	FALSE	FALSE
ENSG00000006377	DLX6	FALSE	FALSE	FALSE
ENSG00000006432	MAP3K9	FALSE	FALSE	FALSE
ENSG00000006451	RALA	TRUE	TRUE	TRUE
ENSG00000006453	BAIAP2L1	FALSE	FALSE	FALSE
ENSG00000006459	KDM7A	TRUE	TRUE	TRUE
ENSG00000006468	ETV1	TRUE	TRUE	TRUE
ENSG00000006530	AGK	TRUE	TRUE	TRUE
ENSG00000006534	ALDH3B1	FALSE	FALSE	FALSE
ENSG00000006555	TTC22	FALSE	FALSE	FALSE
ENSG00000006576	PHTF2	TRUE	TRUE	TRUE
ENSG00000006606	CCL26	FALSE	FALSE	FALSE
ENSG00000006607	FARP2	TRUE	TRUE	TRUE
ENSG00000006611	USH1C	FALSE	FALSE	FALSE
ENSG00000006625	GGCT	TRUE	TRUE	TRUE
ENSG00000006634	DBF4	TRUE	TRUE	TRUE
ENSG00000006638	TBXA2R	FALSE	FALSE	FALSE
ENSG00000006652	IFRD1	TRUE	TRUE	TRUE
ENSG00000006659	LGALS14	FALSE	FALSE	FALSE
ENSG00000006695	COX10	TRUE	TRUE	TRUE
ENSG00000006704	GTF2IRD1	FALSE	FALSE	TRUE
ENSG00000006712	PAF1	TRUE	TRUE	TRUE
ENSG00000006715	VPS41	TRUE	TRUE	TRUE
ENSG00000006740	ARHGAP44	FALSE	FALSE	FALSE
ENSG00000006744	ELAC2	TRUE	TRUE	TRUE
ENSG00000006747	SCIN	FALSE	FALSE	FALSE
ENSG00000006756	ARSD	FALSE	FALSE	FALSE
ENSG00000006757	PNPLA4	TRUE	TRUE	FALSE
ENSG00000006788	MYH13	FALSE	FALSE	FALSE
ENSG00000006831	ADIPOR2	TRUE	TRUE	TRUE
ENSG00000006837	CDKL3	TRUE	TRUE	TRUE
ENSG00000007001	UPP2	FALSE	FALSE	FALSE
ENSG00000007038	PRSS21	FALSE	FALSE	FALSE
ENSG00000007047	MARK4	TRUE	TRUE	TRUE
ENSG00000007062	PROM1	FALSE	FALSE	FALSE
ENSG00000007080	CCDC124	TRUE	TRUE	TRUE
ENSG00000007129	CEACAM21	TRUE	TRUE	FALSE
ENSG00000007168	PAFAH1B1	TRUE	TRUE	TRUE
ENSG00000007171	NOS2	FALSE	FALSE	FALSE
ENSG00000007174	DNAH9	FALSE	FALSE	FALSE
ENSG00000007202	KIAA0100	TRUE	TRUE	TRUE
ENSG00000007216	SLC13A2	FALSE	FALSE	FALSE
ENSG00000007237	GAS7	FALSE	FALSE	FALSE
ENSG00000007255	TRAPPC6A	TRUE	TRUE	TRUE
ENSG00000007264	MATK	TRUE	TRUE	TRUE
ENSG00000007306	CEACAM7	FALSE	FALSE	FALSE
ENSG00000007312	CD79B	TRUE	TRUE	TRUE
ENSG00000007314	SCN4A	FALSE	FALSE	FALSE
ENSG00000007341	ST7L	FALSE	FALSE	FALSE
ENSG00000007350	TKTL1	FALSE	FALSE	FALSE
